TYPE,ITEM,DESCRIPTION,DETAILS,STORAGE,MIN,MAX,UNIT
SHELF_ITEM,"Jams, jellies, preserves",,opened,REFRIGERATED,6,,month
SHELF_ITEM,"Jerky, commercially dried",,unopened,SHELF,12,,month
SHELF_ITEM,"Jerky, commercially dried",,opened,REFRIGERATED,2,3,month
SHELF_ITEM,"Jerky, homemade",,opened,REFRIGERATED,1,2,month
SHELF_ITEM,"Jerky, homemade",,opened,SHELF,1,2,month
SHELF_ITEM,"Juice, boxes",,unopened,SHELF,4,6,month
SHELF_ITEM,"Juice, boxes",,opened,REFRIGERATED,8,12,day
SHELF_ITEM,"Lentils, dried",,unopened,SHELF,12,,month
SHELF_ITEM,"Lentils, dried",,opened,SHELF,12,,month
SHELF_ITEM,"Marshmallows, marshmallow creme",,unopened,SHELF,2,4,month
SHELF_ITEM,"Marshmallows, marshmallow creme",,opened,SHELF,1,,month
SHELF_ITEM,"Milk, canned evaporated",,unopened,SHELF,12,,month
SHELF_ITEM,"Milk, canned evaporated",,opened,REFRIGERATED,4,5,day
SHELF_ITEM,Molasses,,unopened,SHELF,12,,month
SHELF_ITEM,Molasses,,opened,SHELF,6,,month
SHELF_ITEM,"Mushrooms, dried",,unopened,SHELF,6,,month
SHELF_ITEM,"Mushrooms, dried",,opened,SHELF,3,,month
SHELF_ITEM,"Oils, olive or vegetable",,unopened,SHELF,6,,month
SHELF_ITEM,"Oils, olive or vegetable",,opened,REFRIGERATED,4,,month
SHELF_ITEM,"Oils, olive or vegetable",,opened,SHELF,1,3,month
SHELF_ITEM,"Oils, nut oils",,unopened,SHELF,6,,month
SHELF_ITEM,"Oils, vegetable oil sprays",,unopened,SHELF,2,,year
SHELF_ITEM,"Oils, vegetable oil sprays",,opened,SHELF,1,,year
SHELF_ITEM,"Nuts, jars or cans",,unopened,SHELF,12,,month
SHELF_ITEM,"Nuts, jars or cans",,opened,REFRIGERATED,4,6,month
SHELF_ITEM,"Nuts, jars or cans",,opened,FROZEN,9,12,month
SHELF_ITEM,"Nuts, jars or cans",,opened,SHELF,1,,month
SHELF_ITEM,"Pasta, dry, without eggs",,unopened,SHELF,2,,year
SHELF_ITEM,"Pasta, dry, without eggs",,opened,SHELF,1,,year
SHELF_ITEM,Dry egg noodles,,unopened,SHELF,2,,year
SHELF_ITEM,Dry egg noodles,,opened,SHELF,1,2,month
SHELF_ITEM,"Peanut butter, commercial",,unopened,SHELF,6,9,month
SHELF_ITEM,"Peanut butter, commercial",,opened,SHELF,2,3,month
SHELF_ITEM,"Peas, dried split",,unopened,SHELF,12,,month
SHELF_ITEM,"Peas, dried split",,opened,SHELF,12,,month
SHELF_ITEM,Pectin,Use by pkg. date,unopened,SHELF,,,
SHELF_ITEM,Pectin,,opened,SHELF,1,,month
SHELF_ITEM,"Popcorn, dry kernels in jar",,unopened,SHELF,2,,year
SHELF_ITEM,"Popcorn, dry kernels in jar",,opened,SHELF,1,,year
SHELF_ITEM,Commercially popped in bags,,unopened,SHELF,2,3,month
SHELF_ITEM,Commercially popped in bags,,opened,SHELF,1,2,week
SHELF_ITEM,Commercially microwave packets,,unopened,SHELF,12,,month
SHELF_ITEM,Commercially microwave packets,,popped,SHELF,1,2,day
SHELF_ITEM,Potato chips,,unopened,SHELF,2,,month
SHELF_ITEM,Potato chips,,opened,SHELF,1,2,week
SHELF_ITEM,"Potatoes, instant",,unopened,SHELF,6,12,month
SHELF_ITEM,"Potatoes, instant",,opened,SHELF,6,12,month
SHELF_ITEM,Pudding mixes,,unopened,SHELF,12,,month
SHELF_ITEM,Pudding mixes,,opened,SHELF,3,4,month
SHELF_ITEM,"Rice, white or wild",,unopened,SHELF,2,,year
SHELF_ITEM,"Rice, white or wild",,opened,REFRIGERATED,6,,month
SHELF_ITEM,"Rice, white or wild",,opened,SHELF,1,,year
SHELF_ITEM,"Rice, brown",,unopened,SHELF,1,,year
SHELF_ITEM,"Rice, brown",,opened,REFRIGERATED,6,,month
SHELF_ITEM,"Rice, brown",,opened,SHELF,1,,year
SHELF_ITEM,"Rice, flavored or herb mixes",,unopened,SHELF,6,,month
SHELF_ITEM,"Rice, flavored or herb mixes",,opened,REFRIGERATED,6,,month
SHELF_ITEM,"Rice, flavored or herb mixes",,Use all,SHELF,,,
SHELF_ITEM,"Sauce mixes, nondairy (spaghetti, taco, etc.)",,unopened,SHELF,2,,year
SHELF_ITEM,"Sauce mixes, nondairy (spaghetti, taco, etc.)",Use entire amount,opened,SHELF,,,
SHELF_ITEM,"Sauce mixes, nondairy cream sauces, milk solids",,unopened,SHELF,1,,year
SHELF_ITEM,"Shortening, solid",,unopened,SHELF,8,,month
SHELF_ITEM,"Shortening, solid",,opened,SHELF,3,,month
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",after date,unopened,SHELF,3,,month
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",,opened,REFRIGERATED,2,3,day
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",,opened,SHELF,1,,week
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",after date,unopened,SHELF,3,,month
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",,opened,REFRIGERATED,2,3,day
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",,opened,SHELF,2,,week
SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, cans",9 mos. after date,unopened,SHELF,9,,month
SHELF_ITEM,"Soup mixes, dry bouillon",,unopened,SHELF,12,,month
SHELF_ITEM,"Soup mixes, dry bouillon",,opened,SHELF,12,,month
SOY,"Soy or rice beverage, shelf stable",or use-by date,unopened,SHELF,3,,month
SOY,"Soy or rice beverage, shelf stable",,opened,REFRIGERATED,7,10,day
SOY,"Soy or rice beverage, soy beverage powders",,unopened,SHELF,6,,month
SOY,"Soy or rice beverage, soy beverage powders",,opened,SHELF,3,4,month
SOY,"Soy or rice beverage, soy flour, de-fatted, low-fat",,unopened,SHELF,1,,year
SOY,"Soy or rice beverage, soy flour, de-fatted, low-fat",,opened,SHELF,1,,year
SOY,"Soy or rice beverage, soy flour, full-fat",,unopened,SHELF,2,,month
SOY,"Soy or rice beverage, soy flour, full-fat",,opened,REFRIGERATED,6,,month
SOY,"Soy or rice beverage, Textured soy protein (TSP)",,unopened,SHELF,2,,year
SOY,"Soy or rice beverage, Textured soy protein (TSP)",,opened,SHELF,3,4,month
SOY,"Soy or rice beverage, Re-hydrated TSP",,unopened,SHELF,3,4,month
SOY,"Soy or rice beverage, Re-hydrated TSP",,opened,REFRIGERATED,3,4,day
SHELF_ITEM,Spaghetti sauce in jars,,unopened,SHELF,18,,month
SHELF_ITEM,Spaghetti sauce in jars,,opened,REFRIGERATED,4,,day
SHELF_ITEM,"Spices, whole",,unopened,SHELF,2,4,year
SHELF_ITEM,"Spices, whole",,opened,SHELF,2,4,year
SHELF_ITEM,"Spices, ground",,unopened,SHELF,2,3,year
SHELF_ITEM,"Spices, ground",,opened,SHELF,2,3,year
SHELF_ITEM,"Spices, paprika, red pepper, & chili powder",,unopened,SHELF,2,,year
SHELF_ITEM,"Spices, paprika, red pepper, & chili powder",,opened,REFRIGERATED,2,,year
SHELF_ITEM,"Sugar, brown",,,SHELF,4,,month
SHELF_ITEM,"Sugar, granulated",,,SHELF,2,,year
SHELF_ITEM,"Sugar, confectioners",,,SHELF,18,,month
SHELF_ITEM,"Sugar, sugar substitutes",,,SHELF,2,,year
SHELF_ITEM,"Syrup, pancake",,unopened,SHELF,12,,month
SHELF_ITEM,"Syrup, pancake",,opened,SHELF,12,,month
SHELF_ITEM,"Syrup, genuine or real maple",,unopened,SHELF,12,,month
SHELF_ITEM,"Syrup, genuine or real maple",,opened,REFRIGERATED,12,,month
SHELF_ITEM,Tapioca,,unopened,SHELF,12,,month
SHELF_ITEM,Tapioca,,opened,SHELF,12,,month
SHELF_ITEM,"Tea, bags",,unopened,SHELF,18,,month
SHELF_ITEM,"Tea, bags",,opened,SHELF,12,,month
SHELF_ITEM,"Tea, loose",,unopened,SHELF,2,,year
SHELF_ITEM,"Tea, loose",,opened,SHELF,6,12,month
SHELF_ITEM,"Tea, instant",,unopened,SHELF,3,,year
SHELF_ITEM,"Tea, instant",,opened,SHELF,6,12,month
SHELF_ITEM,"Toaster pastries, fruit filled",,unopened,SHELF,6,,month
SHELF_ITEM,"Toaster pastries, non-fruit fillings",,unopened,SHELF,6,,month
SHELF_ITEM,"Tomatoes, sun dried, packed in oil",,unopened,SHELF,12,,month
SHELF_ITEM,"Tomatoes, sun dried, packed in oil",,opened,REFRIGERATED,6,12,month
SHELF_ITEM,"Tomatoes, sun dried, packed in oil",,opened,SHELF,3,6,month
SHELF_ITEM,"Tomatoes, sun dried, packed in cellophane",,unopened,SHELF,9,,month
SHELF_ITEM,"Tomatoes, sun dried, packed in cellophane",,opened,REFRIGERATED,6,12,month
SHELF_ITEM,"Tomatoes, sun dried, packed in cellophane",,opened,SHELF,3,6,month
SHELF_ITEM,Vinegar,,unopened,SHELF,2,,year
SHELF_ITEM,Vinegar,,opened,SHELF,12,,month
SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,unopened,SHELF,,,
SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,opened,REFRIGERATED,,,
SHELF_ITEM,"Water, bottled",,unopened,SHELF,1,2,year
SHELF_ITEM,"Water, bottled",,opened,SHELF,3,,month
SHELF_ITEM,Worcestershire Sauce,,unopened,SHELF,1,,year
SHELF_ITEM,Worcestershire Sauce,,opened,SHELF,1,,year
BAKERY,"Bread, commercial*",,,SHELF,2,4,day
BAKERY,"Bread, commercial*",,,REFRIGERATED,7,14,day
BAKERY,"Bread, commercial*",,,FROZEN,3,,month
BAKERY,"Bread, flat (tortillas, pita)",,,SHELF,2,4,day
BAKERY,"Bread, flat (tortillas, pita)",,,REFRIGERATED,4,7,day
BAKERY,"Bread, flat (tortillas, pita)",,,FROZEN,4,,month
BAKERY,"Cakes, angel food",,,SHELF,1,2,day
BAKERY,"Cakes, angel food",,,REFRIGERATED,1,,week
BAKERY,"Cakes, angel food",,,FROZEN,2,,month
BAKERY,"Cakes, chiffon, sponge",,,SHELF,1,2,day
BAKERY,"Cakes, chiffon, sponge",,,REFRIGERATED,1,,week
BAKERY,"Cakes, chiffon, sponge",,,FROZEN,2,,month
BAKERY,"Cakes, chocolate",,,SHELF,1,2,day
BAKERY,"Cakes, chocolate",,,REFRIGERATED,1,,week
BAKERY,"Cakes, chocolate",,,FROZEN,4,,month
BAKERY,"Cakes, fruit cake",,,SHELF,1,,month
BAKERY,"Cakes, fruit cake",,,REFRIGERATED,6,,month
BAKERY,"Cakes, fruit cake",,,FROZEN,12,,month
BAKERY,"Cakes, made from mix",,,SHELF,3,4,day
BAKERY,"Cakes, made from mix",,,REFRIGERATED,1,,week
BAKERY,"Cakes, made from mix",,,FROZEN,4,,month
BAKERY,"Cakes, pound cake",,,SHELF,3,4,day
BAKERY,"Cakes, pound cake",,,REFRIGERATED,1,,week
BAKERY,"Cakes, pound cake",,,FROZEN,6,,month
BAKERY,Cheesecake,,,REFRIGERATED,1,,week
BAKERY,Cheesecake,,,FROZEN,2,3,month
BAKERY,"Cookies, bakery or homemade",,,SHELF,2,3,week
BAKERY,"Cookies, bakery or homemade",,,REFRIGERATED,2,,month
BAKERY,"Cookies, bakery or homemade",,,FROZEN,8,12,month
BAKERY,"Croissants, butter",,,SHELF,1,,day
BAKERY,"Croissants, butter",,,REFRIGERATED,1,,week
BAKERY,"Croissants, butter",,,FROZEN,2,,month
BAKERY,"Doughnuts, glazed or cake",,,SHELF,1,2,day
BAKERY,"Doughnuts, glazed or cake",,,FROZEN,1,,month
BAKERY,"Doughnuts, glazed or cake, dairy cream filled",,,REFRIGERATED,3,4,day
BAKERY,"Eclairs, dairy cream filled",,,REFRIGERATED,3,4,day
BAKERY,Muffins,,,SHELF,1,2,day
BAKERY,Muffins,,,REFRIGERATED,1,,week
BAKERY,Muffins,,,FROZEN,2,,month
BAKERY,"Pastries, danish",,,SHELF,1,2,day
BAKERY,"Pastries, danish",,,REFRIGERATED,1,,week
BAKERY,"Pastries, danish",,,FROZEN,2,,month
BAKERY,"Pies, cream",,,REFRIGERATED,3,4,day
BAKERY,"Pies, chiffon",,,REFRIGERATED,1,2,day
BAKERY,"Pies, fruit",,,SHELF,1,2,day
BAKERY,"Pies, fruit",,,REFRIGERATED,1,,week
BAKERY,"Pies, fruit",,,FROZEN,8,,month
BAKERY,"Pies, mincemeat",,,SHELF,2,,hour
BAKERY,"Pies, mincemeat",,,REFRIGERATED,1,,week
BAKERY,"Pies, mincemeat",,,FROZEN,8,,month
BAKERY,"Pies, pecan",,,SHELF,2,,hour
BAKERY,"Pies, pecan",,,REFRIGERATED,3,4,day
BAKERY,"Pies, pecan",,,FROZEN,1,2,month
BAKERY,"Pies, pumpkin",,,SHELF,2,,hour
BAKERY,"Pies, pumpkin",,,REFRIGERATED,3,4,day
BAKERY,"Pies, pumpkin",,,FROZEN,1,2,month
BAKERY,Quiche,,,SHELF,2,,hour
BAKERY,Quiche,,,REFRIGERATED,3,4,day
BAKERY,Quiche,,,FROZEN,2,,month
BAKERY,"Rolls, yeast, baked",,,SHELF,3,4,day
BAKERY,"Rolls, yeast, baked",,,REFRIGERATED,1,,week
BAKERY,"Rolls, yeast, baked",,,FROZEN,2,,month
BAKERY,"Rolls, yeast, partially baked",Package date,,SHELF,,,
BAKERY,"Rolls, yeast, partially baked",,,REFRIGERATED,1,,week
BAKERY,"Rolls, yeast, partially baked",,,FROZEN,2,,month
BAKERY,"Rolls, filled, meat or vegetables",,,SHELF,2,,hour
BAKERY,"Rolls, filled, meat or vegetables",,,REFRIGERATED,3,4,day
BAKERY,"Rolls, filled, meat or vegetables",,,FROZEN,2,,month
BAKERY,"Doughnuts, glazed or cake",,G,REFRIGERATED,1,,week
