TYPE,ITEM,PERIOD,DETAILS,STORAGE
SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,opened,REFRIGERATED
BAKERY,"Bread, commercial*",7-14 days,,REFRIGERATED
BAKERY,"Bread, commercial*",3 months,,FROZEN
BAKERY,"Bread, flat (tortillas, pita)",4-7 days,,REFRIGERATED
BAKERY,"Bread, flat (tortillas, pita)",4 months,,FROZEN
BAKERY,"Cakes, angel food",1 week,,REFRIGERATED
BAKERY,"Cakes, angel food",2 months,,FROZEN
BAKERY,"Cakes, chiffon, sponge",1 week,,REFRIGERATED
BAKERY,"Cakes, chiffon, sponge",2 months,,FROZEN
BAKERY,"Cakes, chocolate",1 week,,REFRIGERATED
BAKERY,"Cakes, chocolate",4 months,,FROZEN
BAKERY,"Cakes, fruit cake",6 months,,REFRIGERATED
BAKERY,"Cakes, fruit cake",12 months,,FROZEN
BAKERY,"Cakes, made from mix",1 week,,REFRIGERATED
BAKERY,"Cakes, made from mix",4 months,,FROZEN
BAKERY,"Cakes, pound cake",1 week,,REFRIGERATED
BAKERY,"Cakes, pound cake",6 months,,FROZEN
BAKERY,Cheesecake,1 week,,REFRIGERATED
BAKERY,Cheesecake,2-3 months,,FROZEN
BAKERY,"Cookies, bakery or homemade",2 months,,REFRIGERATED
BAKERY,"Cookies, bakery or homemade",8-12 months,,FROZEN
BAKERY,"Croissants, butter",1 week,,REFRIGERATED
BAKERY,"Croissants, butter",2 months,,FROZEN
BAKERY,"Doughnuts, glazed or cake",1 month,,FROZEN
BAKERY,"Doughnuts, glazed or cake, dairy cream filled",3-4 days,,REFRIGERATED
BAKERY,"Eclairs, dairy cream filled",3-4 days,,REFRIGERATED
BAKERY,Muffins,1 week,,REFRIGERATED
BAKERY,Muffins,2 months,,FROZEN
BAKERY,"Pastries, danish",1 week,,REFRIGERATED
BAKERY,"Pastries, danish",2 months,,FROZEN
BAKERY,"Pies, cream",3-4 days,,REFRIGERATED
BAKERY,"Pies, chiffon",1-2 days,,REFRIGERATED
BAKERY,"Pies, fruit",1 week,,REFRIGERATED
BAKERY,"Pies, fruit",8 months,,FROZEN
BAKERY,"Pies, mincemeat",1 week,,REFRIGERATED
BAKERY,"Pies, mincemeat",8 months,,FROZEN
BAKERY,"Pies, pecan",3-4 days,,REFRIGERATED
BAKERY,"Pies, pecan",1-2 months,,FROZEN
BAKERY,"Pies, pumpkin",3-4 days,,REFRIGERATED
BAKERY,"Pies, pumpkin",1-2 months,,FROZEN
BAKERY,Quiche,3-4 days,,REFRIGERATED
BAKERY,Quiche,2 months,,FROZEN
BAKERY,"Rolls, yeast, baked",1 week,,REFRIGERATED
BAKERY,"Rolls, yeast, baked",2 months,,FROZEN
BAKERY,"Rolls, yeast, partially baked",1 week,,REFRIGERATED
BAKERY,"Rolls, yeast, partially baked",2 months,,FROZEN
BAKERY,"Rolls, filled, meat or vegetables",3-4 days,,REFRIGERATED
BAKERY,"Rolls, filled, meat or vegetables",2 months,,FROZEN
BAKERY,"Doughnuts, glazed or cake",1 week,G,REFRIGERATED
